,timesteps,epochs,batch_size,filters,kernel_size,pool_size,loss_mae,loss_rmse
0,7,15,10,16,5,2,0.33017852902412415,0.47560158371925354
1,7,15,7,16,5,2,0.3149760961532593,0.4465214014053345
2,7,15,5,16,5,2,0.38841351866722107,0.5605030059814453
3,7,15,2,16,5,2,0.31065890192985535,0.44203314185142517
4,6,15,10,16,5,2,0.32125964760780334,0.4500196874141693
5,6,15,7,16,5,2,0.34365174174308777,0.49449658393859863
6,6,15,5,16,5,2,0.34622231125831604,0.4861660897731781
7,6,15,2,16,5,2,0.3075871765613556,0.4318988025188446
8,5,15,10,16,5,2,0.34110280871391296,0.46611538529396057
9,5,15,7,16,5,2,0.33021438121795654,0.46557629108428955
10,5,15,5,16,5,2,0.32484832406044006,0.448493629693985
11,5,15,2,16,5,2,0.3802960515022278,0.5303850769996643
12,7,20,10,16,5,2,0.3104103207588196,0.44968029856681824
13,7,20,7,16,5,2,0.31916019320487976,0.4573383331298828
14,7,20,5,16,5,2,0.3306542932987213,0.4648231267929077
15,7,20,2,16,5,2,0.37549829483032227,0.5330911874771118
16,6,20,10,16,5,2,0.3380679190158844,0.4755612909793854
17,6,20,7,16,5,2,0.383708655834198,0.555318295955658
18,6,20,5,16,5,2,0.32657337188720703,0.4439586102962494
19,6,20,2,16,5,2,0.33931684494018555,0.4756365120410919
20,5,20,10,16,5,2,0.2998037040233612,0.4328579604625702
21,5,20,7,16,5,2,0.3134527802467346,0.45318612456321716
22,5,20,5,16,5,2,0.30461782217025757,0.41665399074554443
23,5,20,2,16,5,2,0.35255998373031616,0.4961888790130615
24,7,30,10,16,5,2,0.3250484764575958,0.462198406457901
25,7,30,7,16,5,2,0.33583685755729675,0.4758351743221283
26,7,30,5,16,5,2,0.34186455607414246,0.48112213611602783
27,7,30,2,16,5,2,0.3083110451698303,0.43022164702415466
28,6,30,10,16,5,2,0.32569658756256104,0.4614408016204834
29,6,30,7,16,5,2,0.3286404013633728,0.4609725773334503
30,6,30,5,16,5,2,0.32144665718078613,0.4575580656528473
31,6,30,2,16,5,2,0.33643072843551636,0.4628118574619293
32,5,30,10,16,5,2,0.3394860029220581,0.4777761399745941
33,5,30,7,16,5,2,0.31925782561302185,0.44360581040382385
34,5,30,5,16,5,2,0.3105778098106384,0.43846139311790466
35,5,30,2,16,5,2,0.3508727252483368,0.48527219891548157
36,7,40,10,16,5,2,0.4067058265209198,0.6039463877677917
37,7,40,7,16,5,2,0.304764986038208,0.42403388023376465
38,7,40,5,16,5,2,0.3360894024372101,0.4808264672756195
39,7,40,2,16,5,2,0.3233851194381714,0.44898685812950134
40,6,40,10,16,5,2,0.32134637236595154,0.46135592460632324
41,6,40,7,16,5,2,0.3398919105529785,0.46875396370887756
42,6,40,5,16,5,2,0.3115939795970917,0.43633055686950684
43,6,40,2,16,5,2,0.3271097242832184,0.44098570942878723
44,5,40,10,16,5,2,0.30303436517715454,0.4299696385860443
45,5,40,7,16,5,2,0.30975982546806335,0.4323246479034424
46,5,40,5,16,5,2,0.3140432834625244,0.446887731552124
47,5,40,2,16,5,2,0.30369964241981506,0.42185863852500916
48,7,50,10,16,5,2,0.32442089915275574,0.45628586411476135
49,7,50,7,16,5,2,0.33174511790275574,0.4683239459991455
50,7,50,5,16,5,2,0.32803651690483093,0.45153889060020447
51,7,50,2,16,5,2,0.3210369050502777,0.43944549560546875
52,6,50,10,16,5,2,0.32099631428718567,0.4511743485927582
53,6,50,7,16,5,2,0.33993062376976013,0.4736051559448242
54,6,50,5,16,5,2,0.30933889746665955,0.4358313977718353
55,6,50,2,16,5,2,0.3048883080482483,0.4291895925998688
56,5,50,10,16,5,2,0.2962593138217926,0.4108719825744629
57,5,50,7,16,5,2,0.28431186079978943,0.4026690423488617
58,5,50,5,16,5,2,0.29248154163360596,0.41145768761634827
59,5,50,2,16,5,2,0.29812490940093994,0.4145728647708893
