,0,1,2,3
0,"[3, 1, 128, 'relu', 30, 2]",0.2778497636318207,0.21341924369335175,0.29506465792655945
1,"[3, 1, 64, 'relu', 50, 2]",0.28339165449142456,0.208041250705719,0.30204537510871887
2,"[3, 1, 64, 'relu', 30, 2]",0.2834599018096924,0.22024798393249512,0.29979878664016724
3,"[3, 1, 32, 'relu', 50, 2]",0.2877253592014313,0.21418465673923492,0.3056645095348358
4,"[3, 1, 64, 'relu', 40, 2]",0.2904866337776184,0.22016657888889313,0.30875274538993835
5,"[3, 1, 32, 'relu', 30, 10]",0.292572021484375,0.2161857634782791,0.307726114988327
6,"[3, 1, 64, 'relu', 50, 10]",0.29320448637008667,0.21080762147903442,0.30947554111480713
7,"[3, 1, 128, 'relu', 50, 10]",0.29374563694000244,0.20771466195583344,0.31069520115852356
8,"[3, 1, 128, 'relu', 50, 2]",0.29414162039756775,0.2266520857810974,0.312204509973526
9,"[3, 1, 32, 'relu', 40, 10]",0.29500651359558105,0.21734723448753357,0.31051966547966003
10,"[3, 1, 128, 'relu', 40, 2]",0.29545995593070984,0.2284517139196396,0.31284382939338684
11,"[3, 1, 64, 'relu', 40, 10]",0.2962874174118042,0.2195480465888977,0.31247052550315857
12,"[3, 1, 128, 'relu', 40, 10]",0.2987074851989746,0.20855259895324707,0.31739541888237
13,"[3, 1, 64, 'relu', 50, 7]",0.2997000515460968,0.2114393264055252,0.3169296979904175
14,"[3, 1, 128, 'relu', 30, 10]",0.30001047253608704,0.2179821878671646,0.3161454498767853
15,"[3, 1, 64, 'relu', 30, 10]",0.3002389967441559,0.22255679965019226,0.31578508019447327
16,"[3, 1, 32, 'relu', 50, 10]",0.301559180021286,0.22479456663131714,0.3174300491809845
17,"[3, 1, 32, 'relu', 40, 7]",0.3016696870326996,0.2185717672109604,0.3184419870376587
18,"[3, 1, 32, 'relu', 30, 7]",0.301833838224411,0.22503837943077087,0.317744642496109
19,"[3, 1, 64, 'relu', 20, 10]",0.3020099401473999,0.22503040730953217,0.31736233830451965
20,"[3, 1, 32, 'relu', 50, 7]",0.30267462134361267,0.2206994891166687,0.31939277052879333
21,"[3, 1, 64, 'relu', 40, 7]",0.3029784858226776,0.2128661870956421,0.32252970337867737
22,"[3, 1, 128, 'relu', 15, 10]",0.3033473789691925,0.22311221063137054,0.318825900554657
23,"[3, 1, 32, 'relu', 20, 10]",0.3035812973976135,0.2275456041097641,0.3188228905200958
24,"[3, 1, 64, 'relu', 30, 7]",0.30398422479629517,0.2233499437570572,0.3206525146961212
25,"[3, 1, 64, 'relu', 20, 7]",0.30480992794036865,0.22417277097702026,0.32091882824897766
26,"[5, 1, 32, 'relu', 30, 10]",0.30558687448501587,0.23754878342151642,0.32120755314826965
27,"[3, 1, 64, 'relu', 40, 5]",0.30562329292297363,0.21834801137447357,0.32514071464538574
28,"[3, 1, 32, 'relu', 40, 2]",0.30586495995521545,0.22813528776168823,0.3257923126220703
29,"[3, 1, 64, 'relu', 15, 7]",0.3060159981250763,0.23096692562103271,0.3216218650341034
30,"[5, 1, 64, 'relu', 30, 10]",0.30636924505233765,0.23444975912570953,0.3221641778945923
31,"[3, 1, 128, 'relu', 20, 7]",0.306921124458313,0.22382773458957672,0.32429078221321106
32,"[3, 1, 64, 'relu', 15, 10]",0.3077329993247986,0.22939497232437134,0.3234729468822479
33,"[5, 1, 64, 'relu', 50, 10]",0.3079414963722229,0.23011678457260132,0.32509317994117737
34,"[3, 1, 32, 'relu', 15, 10]",0.30795276165008545,0.23325787484645844,0.32336291670799255
35,"[3, 1, 32, 'relu', 30, 5]",0.30870091915130615,0.2172667682170868,0.32792598009109497
36,"[3, 1, 128, 'relu', 50, 7]",0.30919149518013,0.2168348729610443,0.3308587372303009
37,"[5, 1, 32, 'relu', 40, 10]",0.3094378113746643,0.23533406853675842,0.3262014091014862
38,"[3, 1, 32, 'relu', 15, 7]",0.30949708819389343,0.23519010841846466,0.32515573501586914
39,"[5, 1, 128, 'relu', 30, 10]",0.30952540040016174,0.22987769544124603,0.3275641202926636
40,"[3, 1, 32, 'relu', 50, 5]",0.3096882700920105,0.2194148600101471,0.331042617559433
41,"[3, 1, 128, 'relu', 20, 10]",0.3103240728378296,0.23127564787864685,0.32649311423301697
42,"[5, 1, 32, 'relu', 20, 10]",0.31062474846839905,0.24410691857337952,0.3262091875076294
43,"[5, 1, 64, 'relu', 40, 10]",0.31065234541893005,0.23891226947307587,0.3271079957485199
44,"[5, 1, 32, 'relu', 30, 7]",0.31071823835372925,0.23809275031089783,0.3272077739238739
45,"[5, 1, 64, 'relu', 20, 10]",0.31077274680137634,0.2421349138021469,0.3265440762042999
46,"[3, 1, 64, 'relu', 50, 5]",0.31080877780914307,0.22291702032089233,0.3326386511325836
47,"[3, 1, 32, 'relu', 40, 5]",0.3119446933269501,0.23469029366970062,0.3286843001842499
48,"[3, 1, 32, 'relu', 15, 5]",0.3119826316833496,0.23953877389431,0.32754436135292053
49,"[3, 1, 128, 'relu', 50, 5]",0.3120817244052887,0.22109177708625793,0.3305607736110687
50,"[3, 1, 32, 'relu', 20, 5]",0.3123664855957031,0.23647639155387878,0.3285575211048126
51,"[3, 1, 64, 'relu', 20, 5]",0.3124992847442627,0.23218503594398499,0.32914862036705017
52,"[3, 1, 128, 'relu', 30, 7]",0.3134285807609558,0.22391647100448608,0.3330574333667755
53,"[3, 1, 128, 'relu', 40, 7]",0.31400999426841736,0.22252865135669708,0.3354441225528717
54,"[3, 1, 32, 'relu', 20, 7]",0.31420817971229553,0.24063272774219513,0.33025994896888733
55,"[3, 1, 128, 'relu', 15, 7]",0.31440970301628113,0.23445257544517517,0.33099237084388733
56,"[5, 1, 128, 'relu', 15, 10]",0.31456464529037476,0.24338841438293457,0.33114469051361084
57,"[6, 1, 32, 'relu', 30, 10]",0.31482985615730286,0.2417108416557312,0.3313917815685272
58,"[3, 1, 128, 'relu', 30, 5]",0.3159204423427582,0.2237834483385086,0.33667805790901184
59,"[6, 1, 32, 'relu', 50, 10]",0.315942645072937,0.23659659922122955,0.3336068093776703
60,"[6, 1, 32, 'relu', 40, 7]",0.3159608542919159,0.2349833846092224,0.3345448672771454
61,"[6, 1, 32, 'relu', 40, 10]",0.3165017068386078,0.24795813858509064,0.3326073884963989
62,"[6, 1, 64, 'relu', 40, 10]",0.3167133033275604,0.23774468898773193,0.3344784677028656
63,"[5, 1, 32, 'relu', 50, 10]",0.31708601117134094,0.23850737512111664,0.3354184925556183
64,"[3, 1, 32, 'relu', 30, 2]",0.31805524230003357,0.2591843605041504,0.33378222584724426
65,"[7, 1, 32, 'relu', 20, 10]",0.31816336512565613,0.24607844650745392,0.3366182744503021
66,"[5, 1, 128, 'relu', 50, 5]",0.31871068477630615,0.23390012979507446,0.3386715352535248
67,"[5, 1, 32, 'relu', 15, 10]",0.3193163275718689,0.25336477160453796,0.3349950313568115
68,"[6, 1, 32, 'relu', 20, 10]",0.32003477215766907,0.25714489817619324,0.3352673053741455
69,"[5, 1, 64, 'relu', 15, 10]",0.32013604044914246,0.2520659565925598,0.3360508680343628
70,"[6, 1, 64, 'relu', 20, 10]",0.32038041949272156,0.25269997119903564,0.33646342158317566
71,"[6, 1, 64, 'relu', 30, 10]",0.3205224275588989,0.25018376111984253,0.3373622000217438
72,"[7, 1, 64, 'relu', 30, 10]",0.32103464007377625,0.2504419684410095,0.3407667577266693
73,"[5, 1, 128, 'relu', 20, 7]",0.3210979402065277,0.24599553644657135,0.33836492896080017
74,"[6, 1, 64, 'relu', 50, 10]",0.3211132884025574,0.2433815449476242,0.33919015526771545
75,"[5, 1, 32, 'relu', 20, 7]",0.32152214646339417,0.25041624903678894,0.3382776975631714
76,"[5, 1, 32, 'relu', 50, 7]",0.32154276967048645,0.23684674501419067,0.34251439571380615
77,"[6, 1, 128, 'relu', 50, 10]",0.32155755162239075,0.23576833307743073,0.34233173727989197
78,"[5, 1, 64, 'relu', 30, 7]",0.3221387267112732,0.23979994654655457,0.34189358353614807
79,"[5, 1, 64, 'relu', 30, 5]",0.32231923937797546,0.25278690457344055,0.33993902802467346
80,"[3, 1, 128, 'relu', 40, 5]",0.32239916920661926,0.2283892035484314,0.34087124466896057
81,"[6, 1, 64, 'relu', 15, 10]",0.32246288657188416,0.25428229570388794,0.3389798104763031
82,"[5, 1, 128, 'relu', 20, 10]",0.32251450419425964,0.2512223422527313,0.33922460675239563
83,"[6, 1, 32, 'relu', 20, 7]",0.32256489992141724,0.25524359941482544,0.3383735418319702
84,"[5, 1, 64, 'relu', 15, 7]",0.32268163561820984,0.2542690634727478,0.33888041973114014
85,"[5, 1, 64, 'relu', 20, 7]",0.32288190722465515,0.25118163228034973,0.3396414816379547
86,"[5, 1, 32, 'relu', 15, 7]",0.3229447901248932,0.25342294573783875,0.3394375741481781
