,0,1,2,3
0,"[3, 1, 32, 'relu', 50, 10]",0.2971079647541046,0.22348307073116302,0.3108115494251251
1,"[3, 1, 32, 'relu', 30, 10]",0.29723310470581055,0.22556255757808685,0.3109000027179718
2,"[3, 1, 32, 'relu', 40, 10]",0.2972506582736969,0.22480350732803345,0.3109048008918762
3,"[3, 1, 32, 'tanh', 20, 10]",0.29771560430526733,0.2281830757856369,0.311575710773468
4,"[3, 1, 32, 'relu', 15, 10]",0.2979080379009247,0.22984260320663452,0.31174930930137634
5,"[3, 1, 64, 'relu', 20, 10]",0.2981087863445282,0.22477921843528748,0.3119535744190216
6,"[3, 1, 64, 'relu', 50, 10]",0.2982303202152252,0.22455532848834991,0.31215718388557434
7,"[3, 1, 64, 'relu', 30, 10]",0.2982631027698517,0.2253342568874359,0.31211110949516296
8,"[3, 1, 32, 'tanh', 40, 10]",0.2983134984970093,0.2307170182466507,0.31219854950904846
9,"[3, 1, 64, 'relu', 40, 10]",0.2983338534832001,0.2247990220785141,0.3122338354587555
10,"[3, 1, 128, 'sigmoid', 50, 2]",0.29839539527893066,0.23070572316646576,0.3122461140155792
11,"[3, 1, 128, 'relu', 15, 10]",0.2988140285015106,0.22609573602676392,0.31267714500427246
12,"[3, 1, 32, 'tanh', 15, 10]",0.2989042103290558,0.2293260544538498,0.31263670325279236
13,"[3, 1, 32, 'relu', 20, 7]",0.29893410205841064,0.22600813210010529,0.3128626048564911
14,"[3, 1, 128, 'relu', 50, 10]",0.29904595017433167,0.22605092823505402,0.31294265389442444
15,"[3, 1, 64, 'tanh', 30, 10]",0.2990574538707733,0.2238778918981552,0.3130338191986084
16,"[3, 1, 128, 'relu', 40, 10]",0.2990958094596863,0.22624248266220093,0.3130030632019043
17,"[3, 1, 32, 'tanh', 15, 7]",0.2991234064102173,0.2251989245414734,0.31301969289779663
18,"[3, 1, 64, 'tanh', 15, 10]",0.2991357743740082,0.22560833394527435,0.3130635619163513
19,"[3, 1, 128, 'tanh', 40, 10]",0.299154132604599,0.22413156926631927,0.3131497800350189
20,"[3, 1, 32, 'relu', 20, 10]",0.29915475845336914,0.2273423671722412,0.31316861510276794
21,"[3, 1, 32, 'tanh', 30, 7]",0.2992335855960846,0.22482462227344513,0.31319460272789
22,"[3, 1, 128, 'tanh', 50, 10]",0.29925453662872314,0.22391504049301147,0.3132610321044922
23,"[3, 1, 32, 'sigmoid', 20, 10]",0.2993220090866089,0.2311946451663971,0.313277930021286
24,"[3, 1, 32, 'sigmoid', 30, 10]",0.2993254065513611,0.2312849909067154,0.31335845589637756
25,"[3, 1, 64, 'relu', 15, 10]",0.29933154582977295,0.22831325232982635,0.3132809102535248
26,"[3, 1, 128, 'tanh', 30, 10]",0.2993456721305847,0.22399267554283142,0.31335923075675964
27,"[3, 1, 32, 'tanh', 30, 10]",0.29947081208229065,0.2258027344942093,0.3134535551071167
28,"[3, 1, 64, 'sigmoid', 30, 10]",0.2994757890701294,0.22787617146968842,0.3133644163608551
29,"[3, 1, 64, 'tanh', 40, 10]",0.2994758188724518,0.22506433725357056,0.3134625256061554
30,"[3, 1, 64, 'relu', 20, 7]",0.29950764775276184,0.22692471742630005,0.31344443559646606
31,"[3, 1, 32, 'tanh', 40, 7]",0.2995346188545227,0.2250068187713623,0.3135339021682739
32,"[3, 1, 64, 'relu', 15, 7]",0.29956674575805664,0.226951465010643,0.3134917914867401
33,"[3, 1, 128, 'relu', 20, 10]",0.2996111214160919,0.22745642066001892,0.31350764632225037
34,"[3, 1, 32, 'tanh', 20, 7]",0.29964494705200195,0.22659483551979065,0.3136101961135864
35,"[3, 1, 32, 'sigmoid', 15, 10]",0.2996581196784973,0.2332266867160797,0.31329020857810974
