,0,1,2,3
0,"[3, 1, 32, 'tanh', 15, 10]",0.3248969316482544,0.26485443115234375,0.38324102759361267
1,"[3, 1, 32, 'relu', 20, 10]",0.325448602437973,0.26482605934143066,0.3835834562778473
2,"[3, 1, 32, 'relu', 50, 10]",0.3254924416542053,0.2653091549873352,0.38382193446159363
3,"[3, 1, 32, 'relu', 30, 10]",0.32563772797584534,0.2652756869792938,0.38340792059898376
4,"[3, 1, 32, 'tanh', 20, 10]",0.3257106840610504,0.265332967042923,0.3836086690425873
5,"[3, 1, 64, 'relu', 30, 5]",0.32607194781303406,0.26543286442756653,0.3849825859069824
6,"[3, 1, 128, 'relu', 50, 10]",0.32622072100639343,0.2655161917209625,0.38480231165885925
7,"[3, 1, 32, 'relu', 40, 10]",0.32631632685661316,0.26661989092826843,0.38438621163368225
8,"[3, 1, 128, 'relu', 40, 10]",0.3263309597969055,0.2656768560409546,0.38484153151512146
9,"[3, 1, 32, 'tanh', 40, 10]",0.3266073763370514,0.26567575335502625,0.38523826003074646
10,"[3, 1, 64, 'tanh', 40, 10]",0.32662808895111084,0.2650568187236786,0.3852742612361908
11,"[3, 1, 64, 'tanh', 50, 10]",0.32664987444877625,0.26503100991249084,0.3853646516799927
12,"[3, 1, 32, 'tanh', 30, 10]",0.32671165466308594,0.2658638656139374,0.385127454996109
13,"[3, 1, 128, 'relu', 30, 10]",0.32671207189559937,0.2651134729385376,0.38506731390953064
14,"[3, 1, 32, 'tanh', 30, 7]",0.3267137110233307,0.2653674781322479,0.38497117161750793
15,"[3, 1, 64, 'tanh', 30, 10]",0.32676470279693604,0.26493629813194275,0.3854168951511383
16,"[3, 1, 128, 'relu', 20, 10]",0.3268500864505768,0.26613396406173706,0.3848462998867035
17,"[3, 1, 32, 'tanh', 40, 7]",0.326850950717926,0.2653111219406128,0.3852875232696533
18,"[3, 1, 64, 'relu', 50, 7]",0.32688701152801514,0.2658994793891907,0.3853228986263275
